Company Name,Exchange:Ticker,Geographic Locations,Primary Industry,Distress_Probability
"Kennedy-Wilson Holdings, Inc. (NYSE:KW)",NYSE:KW,United States and Canada (Primary),Real Estate Operating Companies,0.9729592449723634
Apartment Investment and Management Company (NYSE:AIV),NYSE:AIV,United States and Canada (Primary),Multi-Family Residential REITs,0.9410476604041106
"NexPoint Residential Trust, Inc. (NYSE:NXRT)",NYSE:NXRT,United States and Canada (Primary),Multi-Family Residential REITs,0.9387124191311524
"Hines Global Income Trust, Inc. (MutualFund:ZHGI.DX)",MutualFund:ZHGI.DX,United States and Canada (Primary),Diversified REITs,0.9329371755613521
StorageVault Canada Inc. (TSX:SVI),TSX:SVI,United States and Canada (Primary),Real Estate Operating Companies,0.9242736292641475
"Veris Residential, Inc. (NYSE:VRE)",NYSE:VRE,United States and Canada (Primary),Multi-Family Residential REITs,0.8936776546958661
Acadia Realty Trust (NYSE:AKR),NYSE:AKR,United States and Canada (Primary),Retail REITs,0.8880475328955757
"Lineage, Inc. (NasdaqGS:LINE)",NasdaqGS:LINE,United States and Canada (Primary),Industrial REITs,0.8678465096363078
Centerspace (NYSE:CSR),NYSE:CSR,United States and Canada (Primary),Multi-Family Residential REITs,0.8240682209101797
"American Healthcare REIT, Inc. (NYSE:AHR)",NYSE:AHR,United States and Canada (Primary),Health Care REITs,0.8102611085545439
"SmartStop Self Storage REIT, Inc. (NYSE:SMA)",NYSE:SMA,United States and Canada (Primary),Self-Storage REITs,0.8097103990601509
"JLL Income Property Trust, Inc. (MutualFund:ZIPT.MX)",MutualFund:ZIPT.MX,United States and Canada (Primary),Diversified REITs,0.7946246946181272
JBG SMITH Properties (NYSE:JBGS),NYSE:JBGS,United States and Canada (Primary),Office REITs,0.7934401154816183
Gladstone Land Corporation (NasdaqGM:LAND),NasdaqGM:LAND,United States and Canada (Primary),Other Specialized REITs,0.6871632384162826
Kite Realty Group Trust (NYSE:KRG),NYSE:KRG,United States and Canada (Primary),Retail REITs,0.6859292856014034
"Hanwha REIT Co., Ltd. (KOSE:A451800)",KOSE:A451800,"Korea, South (Primary)",Office REITs,0.6540791861533173
InvenTrust Properties Corp. (NYSE:IVT),NYSE:IVT,United States and Canada (Primary),Retail REITs,0.652195381329933
Brandywine Realty Trust (NYSE:BDN),NYSE:BDN,United States and Canada (Primary),Office REITs,0.6408855789715362
LandBridge Company LLC (NYSE:LB),NYSE:LB,United States and Canada (Primary),Real Estate Operating Companies,0.6312959899202762
"CTO Realty Growth, Inc. (NYSE:CTO)",NYSE:CTO,United States and Canada (Primary),Diversified REITs,0.6147341332656977
Diversified Healthcare Trust (NasdaqGS:DHC),NasdaqGS:DHC,United States and Canada (Primary),Health Care REITs,0.612258013815472
"SK Reits Co., Ltd. (KOSE:A395400)",KOSE:A395400,"Korea, South (Primary)",Diversified REITs,0.600924086423222
Dar Global PLC (LSE:DAR),LSE:DAR,United Kingdom (Primary),Real Estate Development,0.5918100572751483
The Macerich Company (NYSE:MAC),NYSE:MAC,United States and Canada (Primary),Retail REITs,0.5690127638547
"ESR Kendall Square REIT Co., Ltd. (KOSE:A365550)",KOSE:A365550,"Korea, South (Primary)",Industrial REITs,0.5628200356917583
SL Green Realty Corp. (NYSE:SLG),NYSE:SLG,United States and Canada (Primary),Office REITs,0.5625703048777025
"CBL & Associates Properties, Inc. (NYSE:CBL)",NYSE:CBL,United States and Canada (Primary),Retail REITs,0.549950590751637
Shaftesbury Capital PLC (LSE:SHC),LSE:SHC,United Kingdom (Primary),Diversified REITs,0.5492271210301235
Forestar Group Inc. (NYSE:FOR),NYSE:FOR,United States and Canada (Primary),Real Estate Development,0.5434076612772519
Invitation Homes Inc. (NYSE:INVH),NYSE:INVH,United States and Canada (Primary),Single-Family Residential REITs,0.5386635398179831
"UMH Properties, Inc. (NYSE:UMH)",NYSE:UMH,United States and Canada (Primary),Single-Family Residential REITs,0.5384392871473273
NETSTREIT Corp. (NYSE:NTST),NYSE:NTST,United States and Canada (Primary),Retail REITs,0.5345011075361431
Pebblebrook Hotel Trust (NYSE:PEB),NYSE:PEB,United States and Canada (Primary),Hotel and Resort REITs,0.516608891336489
"Phillips Edison & Company, Inc. (NasdaqGS:PECO)",NasdaqGS:PECO,United States and Canada (Primary),Retail REITs,0.512484307433541
"Postal Realty Trust, Inc. (NYSE:PSTL)",NYSE:PSTL,United States and Canada (Primary),Office REITs,0.508286328072853
Healthcare Realty Trust Incorporated (NYSE:HR),NYSE:HR,United States and Canada (Primary),Health Care REITs,0.49980205697911717
Peakstone Realty Trust (NYSE:PKST),NYSE:PKST,United States and Canada (Primary),Office REITs,0.4975582468462517
Harworth Group plc (LSE:HWG),LSE:HWG,United Kingdom (Primary),Real Estate Development,0.49490800348991704
"Americold Realty Trust, Inc. (NYSE:COLD)",NYSE:COLD,United States and Canada (Primary),Industrial REITs,0.4590126231535014
LXP Industrial Trust (NYSE:LXP),NYSE:LXP,United States and Canada (Primary),Industrial REITs,0.4429431689886876
Vornado Realty Trust (NYSE:VNO),NYSE:VNO,United States and Canada (Primary),Office REITs,0.4291548100286541
"Independence Realty Trust, Inc. (NYSE:IRT)",NYSE:IRT,United States and Canada (Primary),Multi-Family Residential REITs,0.42675988455390146
"Piedmont Realty Trust, Inc. (NYSE:PDM)",NYSE:PDM,United States and Canada (Primary),Office REITs,0.4252926561028462
"Douglas Emmett, Inc. (NYSE:DEI)",NYSE:DEI,United States and Canada (Primary),Office REITs,0.4248949974046002
"Global Net Lease, Inc. (NYSE:GNL)",NYSE:GNL,United States and Canada (Primary),Diversified REITs,0.4191973858211421
"Xenia Hotels & Resorts, Inc. (NYSE:XHR)",NYSE:XHR,United States and Canada (Primary),Hotel and Resort REITs,0.40594085919096506
"Easterly Government Properties, Inc. (NYSE:DEA)",NYSE:DEA,United States and Canada (Primary),Office REITs,0.3871608559377445
Leopalace21 Corporation (TSE:8848),TSE:8848,Japan (Primary),Real Estate Operating Companies,0.3816341224333097
"Healthpeak Properties, Inc. (NYSE:DOC)",NYSE:DOC,United States and Canada (Primary),Health Care REITs,0.3805202717810317
"Sunstone Hotel Investors, Inc. (NYSE:SHO)",NYSE:SHO,United States and Canada (Primary),Hotel and Resort REITs,0.3792421929296278
Dream Unlimited Corp. (TSX:DRM),TSX:DRM,United States and Canada (Primary),Real Estate Development,0.3710585608421813
Farmland Partners Inc. (NYSE:FPI),NYSE:FPI,United States and Canada (Primary),Other Specialized REITs,0.3684820539004311
"Host Hotels & Resorts, Inc. (NasdaqGS:HST)",NasdaqGS:HST,United States and Canada (Primary),Hotel and Resort REITs,0.3632730255009071
"CIM Real Estate Finance Trust, Inc. (OTCPK:CMRF)",OTCPK:CMRF,United States and Canada (Primary),Retail REITs,0.36280063039831056
Park Hotels & Resorts Inc. (NYSE:PK),NYSE:PK,United States and Canada (Primary),Hotel and Resort REITs,0.3596440969420815
DiamondRock Hospitality Company (NasdaqGS:DRH),NasdaqGS:DRH,United States and Canada (Primary),Hotel and Resort REITs,0.34787580912615435
"Ryman Hospitality Properties, Inc. (NYSE:RHP)",NYSE:RHP,United States and Canada (Primary),Hotel and Resort REITs,0.3432082874611756
"UDR, Inc. (NYSE:UDR)",NYSE:UDR,United States and Canada (Primary),Multi-Family Residential REITs,0.34050983588448996
"Empire State Realty Trust, Inc. (NYSE:ESRT)",NYSE:ESRT,United States and Canada (Primary),Office REITs,0.33528889122810457
RLJ Lodging Trust (NYSE:RLJ),NYSE:RLJ,United States and Canada (Primary),Hotel and Resort REITs,0.3239277171015036
DEXUS (ASX:DXS),ASX:DXS,Australia (Primary),Office REITs,0.316590266151165
"Medical Properties Trust, Inc. (NYSE:MPT)",NYSE:MPT,United States and Canada (Primary),Health Care REITs,0.31546427450942643
VICI Properties Inc. (NYSE:VICI),NYSE:VICI,United States and Canada (Primary),Other Specialized REITs,0.31376967675092793
"STAG Industrial, Inc. (NYSE:STAG)",NYSE:STAG,United States and Canada (Primary),Industrial REITs,0.31050110505340156
Howard Hughes Holdings Inc. (NYSE:HHH),NYSE:HHH,United States and Canada (Primary),Real Estate Development,0.3095745161656715
Weyerhaeuser Company (NYSE:WY),NYSE:WY,United States and Canada (Primary),Timber REITs,0.2938149532654305
Goodman Group (ASX:GMG),ASX:GMG,Australia (Primary),Industrial REITs,0.28961139839835237
American Homes 4 Rent (NYSE:AMH),NYSE:AMH,United States and Canada (Primary),Single-Family Residential REITs,0.28947648632100914
"Empire State Realty OP, L.P. (ARCA:ESBA)",ARCA:ESBA,United States and Canada (Primary),Diversified REITs,0.28392963505653335
Charter Hall Group (ASX:CHC),ASX:CHC,Australia (Primary),Diversified REITs,0.2786117991647335
OUTFRONT Media Inc. (NYSE:OUT),NYSE:OUT,United States and Canada (Primary),Other Specialized REITs,0.2741537838214274
